al.Manufacturer,al.Model Number,al.Product Type,al.IP Address,al.MAC Address,al.PO Number,acc.Account Name,Lifecycle Asset Type,lm.Building Name,lm.Room Name,lm.Room Code,Install Date,Replacement Year
Crestron,TSW-760,User Interface,10.88.41.137,00.10.7f.e7.2f.96,,University of Utah,Classroom,ARCH,Arch 127,127,"Jan 01, 2019",2026
Panasonic,PT-MZ780 WU,Display,,,,University of Utah,Classroom,GC,GC 3153,3153,"Jan 01, 2019",2026
Magewell,USb Capture,Accessory,,,,University of Utah,Classroom,GC,GC 5490,5490,"Jan 01, 2019",2026
Crestron,Amp 3210T,Accessory,,,,University of Utah,Classroom,HEB,"HEB 2004, 2006, 2008 - F",2004,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.80.42.5,00.10.7f.d5.a9.6f,,University of Utah,Classroom,JFB,JFB B-1,B-1,"Jan 01, 2019",2026
Atlona,AT-HDVS-CAM-HDMI-BK,Camera,,,,University of Utah,Classroom,HSEB,HSEB 2958,2958,"Jan 01, 2019",2026
Crestron,TSW-770,User Interface,10.88.4.77,,,University of Utah,Classroom,GC,GC 1900,1900,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.88.2.180,00.10.7f.fa.6f.27,,University of Utah,Classroom,MLIB,MLIB 1715 - F,1715 - F,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.88.5.52,00.10.7f.a0.b9.e6,,University of Utah,Classroom,GC,GC 3660,3660,"Jan 01, 2019",2026
Panasonic,PT-VMZ71U,Display,,,,University of Utah,Classroom,GC,GC 5680,5680,"Jan 01, 2019",2026
Magewell,,Accessory,,,,University of Utah,Classroom,HEB,"HEB 2004, 2006, 2008 - F",2004,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.80.42.10,00.10.7F.D5.8F.74,,University of Utah,Classroom,JFB,JFB 101,101,"Jan 01, 2019",2026
Crestron,RMC3,Control Processor,10.72.36.215,00.10.7f.e0.5.b8,,University of Utah,Classroom,HSEB,HSEB 2968,2968,"Jan 01, 2019",2026
Crestron,DM-RMC-4K-Scaler-C,"TX, RX, Scaler",10.88.4.76,00.10.7f.a1.12.2a,,University of Utah,Classroom,GC,GC 1900,1900,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.88.40.45,00.10.7f.e9.b2.02,,University of Utah,Classroom,BUC,BUC 208-F,208-F,"Jan 01, 2019",2026
Shure,MX202,Audio (Microphone),,,,University of Utah,Classroom,GC,GC 3680,3680,"Jan 01, 2019",2026
Crestron,TS-770,User Interface,10.80.34.152,c4.42.68.2a.54.ac,,University of Utah,Classroom,JTB,JTB 140,140,"Jan 01, 2019",2026
Vaddio,Universal CCU,Camera,,,,University of Utah,Classroom,HEB,"HEB 2004, 2006, 2008 - F",2008,"Jan 01, 2019",2026
Crestron,RMC4,Control Processor,10.72.37.20,c4.42.68.6d.61.10,,University of Utah,Classroom,HSEB,HSEB 4100A,4100A,"Jan 01, 2019",2026
Atlona,AT-HDVS-CAM-HDMI-BK-TVS-1,Camera,,,,University of Utah,Classroom,HSEB,HSEB 5100A,5100A,"Jan 01, 2019",2026
Rocware,RC821U,Camera,,,,University of Utah,Classroom,AEB,AEB 350 - F,350 - F,"Jan 01, 2019",2026
Logitech,Rally Bar,Camera,,,,University of Utah,Classroom,GC,GC 3015,3015,"Jan 01, 2019",2026
Crestron,Pro3,Control Processor,10.88.5.161,00.10.7f.a5.9d.19,,University of Utah,Classroom,GC,GC 5490,5490,"Jan 01, 2019",2026
Vaddio,Universal CCU,Camera,,,,University of Utah,Classroom,HEB,"HEB 2004, 2006, 2008 - F",2004,"Jan 01, 2019",2026
RM702,,Audio (Microphone),,,,University of Utah,Classroom,HSEB,HSEB 2680,2680,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.72.36.212,00.10.7f.de.88.2c,,University of Utah,Classroom,HSEB,HSEB 2962,2962,"Jan 01, 2019",2026
QSC,NC-12x80,Camera,,,,Clearvista,Conference Room,Headquarters,Experience Center,102,"Mar 10, 2026",2033
Extron,42-120-13,"Audio (Speaker, amplifier)",,,,Weber State University,Conference Room,McKay Engineering,Standard Conference Room,258,"Oct 24, 2023",2030
Panasonic,PT-VMZ62,Display,,,U000613719,University of Utah,Classroom,AEB,AEB 320,320,"Feb 10, 2026",2033
Videri,SR23202M,Display,,,110000004615 / RET-10464,Yaamava Resort & Casino,Digital Signage,Yaamava Theater,Lobby,200,"Jan 03, 2025",2032
Panasonic,Panasonic PT-MZ682WU7,Display,,,,University of Utah,Classroom,HSEB,HSEB 5100C ZR,5100C ZR,"Jan 01, 2019",2026
Yealink,MspeakerII,"Audio (Speaker, amplifier)",,,,Onset Financial,Conference Room,Draper Office,Executive Boardroom,,"Jun 09, 2025",2032
Sony,VPLPHZ51,Display,,,,Weber State University,Classroom,McKay Engineering,Room Group,229,"Oct 24, 2023",2030
Panasonic,PT-VMZ62,Display,,,U000613719,University of Utah,Classroom,AEB,AEB 320,320,"Feb 10, 2026",2033
Videri,SR23202M,Display,,,110000004615 / RET-10464,Yaamava Resort & Casino,Digital Signage,Yaamava Theater,Lobby,200,"Jan 03, 2025",2032
Panasonic,Panasonic PT-MZ682WU7,Display,,,,University of Utah,Classroom,HSEB,HSEB 5100C ZR,5100C ZR,"Jan 01, 2019",2026
Yealink,YEA-MVC860-C5-000,Camera,,,,Onset Financial,Conference Room,St. George Office,3rd Floor Conf Room,,"Jul 28, 2025",2032
"Covid, Inc.",W1114P-W,Accessory,,,,Weber State University,Classroom,McKay Engineering,Room Group,229,"Oct 24, 2023",2030
Shure,MX202B/C,Audio (Microphone),,,U000613719,University of Utah,Classroom,AEB,AEB 320,320,"Feb 10, 2026",2033
Videri,SR23202M,Display,,,110000004615 / RET-10464,Yaamava Resort & Casino,Digital Signage,Yaamava Theater,Lobby,200,"Jan 03, 2025",2032
Rocware,ROCWARE RC821U,Camera,,,,University of Utah,Classroom,HSEB,HSEB 5100C ZR,5100C ZR,"Jan 01, 2019",2026
Yealink,YEA-ROOMPANEL-PLUS,User Interface,,,,Onset Financial,Conference Room,St. George Office,3rd Floor Conf Room,,"Jul 28, 2025",2032
"Covid, Inc.",W1114P-W,Accessory,,,,Weber State University,Classroom,McKay Engineering,Room Group,236,"Oct 24, 2023",2030
,"8"" wide","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,AEB,AEB 320,320,"Feb 10, 2026",2033
Videri,SR24302M,Display,,,110000004615 / RET-10464,Yaamava Resort & Casino,Digital Signage,Yaamava Theater,Lobby,200,"Jan 03, 2025",2032
Crestron,Crestron DM-NVX-E30C,"TX, RX, Scaler",192.168.0.155,c4.42.68.83.54.09,,University of Utah,Classroom,HSEB,HSEB 5100C ZR,5100C ZR,"Jan 01, 2019",2026
Lumens,VCTR30W,Camera,,,,Weber State University,Conference Room,McKay Engineering,Standard Conference Room,231,"Oct 24, 2023",2030
Da-Lite,70288,Accessory,,,,Weber State University,Classroom,McKay Engineering,Classrooms,322,"Oct 24, 2023",2030
Chief,LTM1U,Accessory,,,,Weber State University,Classroom,McKay Engineering,Classrooms,327,"Oct 24, 2023",2030
Extron,60-952-02,"TX, RX, Scaler",,,,Weber State University,Classroom,McKay Engineering,Classrooms,331,"Oct 24, 2023",2030
Extron,60-000690,"TX, RX, Scaler",,,,Weber State University,Classroom,McKay Engineering,Room Group,330,"Oct 24, 2023",2030
Crestron,DM-TX-4KZ-100-C,"TX, RX, Scaler",,,,University of Utah,Classroom,AEB,AEB 320 - F,320 - F,"Jan 01, 2019",2026
Epson,V12H758020,Camera,,,,Weber State University,Conference Room,McKay Engineering,Standard Conference Room,231,"Oct 24, 2023",2030
Araknis Networks,AN-110-SW-R-8,Networking,,,,Weber State University,Classroom,McKay Engineering,Classrooms,326,"Oct 24, 2023",2030
Araknis Networks,AN-110-SW-R-8,Networking,,,,Weber State University,Classroom,McKay Engineering,Classrooms,328,"Oct 24, 2023",2030
Extron,60-000690,"TX, RX, Scaler",,,,Weber State University,Classroom,McKay Engineering,Room Group,321,"Oct 24, 2023",2030
Da-Lite,70288,Accessory,,,,Weber State University,Classroom,McKay Engineering,Room Group,330,"Oct 24, 2023",2030
Crestron,RMC4,Control Processor,,,,Weber State University,Conference Room,McKay Engineering,Standard Conference Room,230,"Oct 24, 2023",2030
Kramer Electronics,MV-4X,"TX, RX, Scaler",,,,Weber State University,Classroom,McKay Engineering,Classrooms,322,"Oct 24, 2023",2030
Kramer Electronics,PA-120Z,"Audio (Speaker, amplifier)",,,,Weber State University,Classroom,McKay Engineering,Classrooms,327,"Oct 24, 2023",2030
Crestron,TS-770-B-S,User Interface,,,,Weber State University,Classroom,McKay Engineering,Classrooms,331,"Oct 24, 2023",2030
Chief,PAC525F,Accessory,,,,Weber State University,Classroom,McKay Engineering,Room Group,321,"Oct 24, 2023",2030
,"8"" wide","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,AEB,AEB 306,306,"Sep 15, 2025",2032
Crestron,TS-770-B-S,User Interface,,,,Weber State University,Conference Room,McKay Engineering,Standard Conference Room,231,"Oct 24, 2023",2030
Sony,FW65BZ35L,Display,,,,Weber State University,Classroom,McKay Engineering,Classrooms,322,"Oct 24, 2023",2030
Extron,60-1823-01,"Audio (Speaker, amplifier)",,,,Weber State University,Classroom,McKay Engineering,Classrooms,327,"Oct 24, 2023",2030
Chief,LTM1U,Accessory,,,,Weber State University,Classroom,McKay Engineering,Classrooms,331,"Oct 24, 2023",2030
Extron,60-000690,"TX, RX, Scaler",,,,Weber State University,Classroom,McKay Engineering,Room Group,330,"Oct 24, 2023",2030
Atlona,AT-HDVS-CAM-HDMI-WH,Camera,,,,University of Utah,Classroom,AEB,AEB 320 - F,320 - F,"Jan 01, 2019",2026
Atlona,AT-HDVS-HDMI-BK,Camera,,,,University of Utah,Classroom,GC,GC 2575,2575,"Jan 01, 2019",2026
Crestron,AMP-225,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,BEHS,BEHS 104,104,"Jan 01, 2019",2026
Hall Technologies,,Accessory,,,,University of Utah,Classroom,BEHS,BEHS 109,109,"Jan 01, 2019",2026
Crestron,HD-TX-201-C-2G-E,"TX, RX, Scaler",,,,University of Utah,Classroom,BUC,BUC 204 - F,204 - F,"Jan 01, 2019",2026
Crestron,RMC3,Control Processor,10.88.38.80,00.10.7f.eb.cd.6c,,University of Utah,Classroom,BEHS,BEHS 116,116,"Jan 01, 2019",2026
Crestron,CEN-SW-POE-5,Networking,,,,University of Utah,Classroom,BUC,BUC 305 - F,305 - F,"Jan 01, 2019",2026
Crestron,TS-770,User Interface,10.80.41.192,C4.42.68.31.3D.CC,,University of Utah,Classroom,FASB,FASB 295 - F,295 - F,"Jan 01, 2019",2026
Atlona,AT-USB-EX-100-Kit,Camera,,,,University of Utah,Classroom,GC,GC 2880,2880,"Jan 01, 2019",2026
Atlona,,Camera,,,,University of Utah,Classroom,HPR N,HPR N 225 - F,225 - F,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.72.36.17,00.10.7f.b7.dd.05,,University of Utah,Classroom,HSEB,HSEB 1120,1120,"Jan 01, 2019",2026
Crestron,AM-3000,Wireless Presentation,,,,University of Utah,Classroom,GC,GC 1770,1770,"Jan 01, 2019",2026
Hall Technologies,U22-160-DP,"TX, RX, Scaler",,,,University of Utah,Classroom,AEB,AEB 360 - F,360 - F,"Jan 01, 2019",2026
Crestron,HD-TX-4KZ-101-1G-W,"TX, RX, Scaler",,,,University of Utah,Classroom,BEHS,BEHS 106,106,"Jan 01, 2019",2026
2 hanging from ceiling,,Audio (Microphone),,,,University of Utah,Classroom,BUC,BUC 106 - F,106 - F,"Jan 01, 2019",2026
Crestron,HD-RX-201-C-E,"TX, RX, Scaler",10.88.40.41,00:10:7f:ce:e5:77,,University of Utah,Classroom,BUC,BUC 207-F,207-F,"Jan 01, 2019",2026
Panasonic,PT-VMZ51,Display,10.88.40.59,B8:20:8E:58:0C:1C,,University of Utah,Classroom,BUC,BUC 211 - F,211 - F,"Jan 01, 2019",2026
Crestron,DM-TX-4K-302-C,"TX, RX, Scaler",,00.10.7f.99.80.ad,,University of Utah,Classroom,CTIHB,CTIHB 109 - F,109 - F,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.88.4.32,00.10.7f.a3.00.20,,University of Utah,Classroom,GC,GC 1575,1575,"Jan 01, 2019",2026
Shure,MX202W,Audio (Microphone),,,,University of Utah,Classroom,GC,GC 5620,5620,"Jan 01, 2019",2026
Radio Design Labs,STD-10K,Accessory,,,,University of Utah,Classroom,HPR N,HPR N 226 - F,226 - F,"Jan 01, 2019",2026
6,,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,HSEB,HSEB 1140,1140,"Jan 01, 2019",2026
Panasonic,PTMZ780,Display,,,,University of Utah,Classroom,GC,GC 2560,2560,"Jan 01, 2019",2026
Crestron,AMP-225,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,BEHS,BEHS 101,101,"Jan 01, 2019",2026
Crestron,"Saros 6.5""","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,BEHS,BEHS 107,107,"Jan 01, 2019",2026
Epson,PL-L510U,Display,10.88.40.23,38.1a.52.8c.dd.e3,,University of Utah,Classroom,BUC,BUC 108 - F,108 - F,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.88.38.67,00.10.7f.e2.2b.22,,University of Utah,Classroom,BEHS,BEHS 113,113,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.88.40.65,00.10.7f.80.65.d1,,University of Utah,Classroom,BUC,BUC 301 - F,301 - F,"Jan 01, 2019",2026
Crestron,TSW-770,User Interface,10.80.41.182,c4.42.68.35.f4.6c,,University of Utah,Classroom,FASB,FASB 101 - F,101 - F,"Jan 01, 2019",2026
Crestron,DM-TX-4KZ-100-C,"TX, RX, Scaler",,,,University of Utah,Classroom,GC,GC 2675,2675,"Jan 01, 2019",2026
Atlona,AT-HDVS-CAM-HDMI-BK,Camera,,,,University of Utah,Classroom,HEB,HEB 2010 - F,2010 - F,"Jan 01, 2019",2026
Epson,L530U,Display,,dc.cd.2f.2f.b4.bf,,University of Utah,Classroom,HPR E,HPR E 206 - F,206 - F,"Jan 01, 2019",2026
4,,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,HSEB,HSEB 3100C,3100C,"Jan 01, 2019",2026
SurgeX,SX-1120-RT,Accessory,,,,University of Utah,Classroom,GC,GC 2560,2560,"Jan 01, 2019",2026
Panasonic,PT-VMZ51U7,Display,,,,University of Utah,Classroom,BEHS,BEHS 104,104,"Jan 01, 2019",2026
Da-Lite,,Accessory,,,,University of Utah,Classroom,BEHS,BEHS 108,108,"Jan 01, 2019",2026
Radio Design Labs,STD-10K,Accessory,,,,University of Utah,Classroom,BUC,BUC 203 - F,203 - F,"Jan 01, 2019",2026
Rocware,RM702A,Audio (Microphone),,,,University of Utah,Classroom,BEHS,BEHS 114,114,"Jan 01, 2019",2026
Da-Lite,,Accessory,,,,University of Utah,Classroom,BUC,BUC 302 - F,302 - F,"Jan 01, 2019",2026
4 - Hanging from ceiling,,Audio (Microphone),,,,University of Utah,Classroom,FASB,FASB 250 - F,250 - F,"Jan 01, 2019",2026
Crestron,DM-TX-4KZ-100-C,"TX, RX, Scaler",,,,University of Utah,Classroom,GC,GC 2781,2781,"Jan 01, 2019",2026
Trendnet,TPE-TG44g/A,Networking,,,,University of Utah,Classroom,HPR N,HRP N 218 - F,218 - F,"Jan 01, 2019",2026
Rocware,RM702 Rocware,Audio (Microphone),,,,University of Utah,Classroom,HSEB,HSEB 1007,1007,"Jan 01, 2019",2026
Crestron,RMC3,Control Processor,10.88.44.15,00.10.7f.c2.00.63,,University of Utah,Classroom,MCD,MCD 230 - F,230 - F,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.80.35.152,00.10.7F.A6.21.78,,University of Utah,Classroom,JWB,JWB 333-F,333-F,"Jan 01, 2019",2026
DTEN,dten,Accessory,,A4:17:91:22:54:A6,,University of Utah,Classroom,HSEB,HSEB 1750,1750,"Jan 01, 2019",2026
Atlona,,Camera,,,,University of Utah,Classroom,JTB,JTB 130,130,"Jan 01, 2019",2026
Crestron,CP4N,Control Processor,10.72.36.120,c4.42.68.7d.15.d0,,University of Utah,Classroom,HSEB,HSEB 4100C,4100C,"Jan 01, 2019",2026
Crestron,HD-TX-201-C-2G-E,"TX, RX, Scaler",,,,University of Utah,Classroom,WBB,WBB 617 - F,617 - F,"Jan 01, 2019",2026
1 mic hanging from ceiling,,Audio (Microphone),,,,University of Utah,Classroom,JWB,JWB 208 - F,208 - F,"Jan 01, 2019",2026
Shure,mx418d,Audio (Microphone),,,,University of Utah,Classroom,HSEB,HSEB 1750,1750,"Jan 01, 2019",2026
Hall Technologies,USB 2.0 over Cat6,Accessory,,,,University of Utah,Classroom,JTB,JTB 120,120,"Jan 01, 2019",2026
Crestron,AMP-225,Control Processor,,,,University of Utah,Classroom,HSEB,HSEB 3100A,3100A,"Jan 01, 2019",2026
Radio Design Labs,,Accessory,,,,University of Utah,Classroom,WBB,WBB 207 - F,207 - F,"Jan 01, 2019",2026
Crestron,AMP-3210T,Accessory,,,,University of Utah,Classroom,MLIB,MLIB 1160-F,1160-F,"Jan 01, 2019",2026
Panasonic,PT-MZ882WU7 Panasonic,Display,,,,University of Utah,Classroom,HSEB,HSEB 1750,1750,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.80.34.140,00.10.7f.9d.5d.1f,,University of Utah,Classroom,JTB,JTB 120,120,"Jan 01, 2019",2026
Pixie,,Control Processor,,,,University of Utah,Classroom,HSEB,HSEB 3100A,3100A,"Jan 01, 2019",2026
Epson,PowerLite L510U,Display,,38.9d.92.e0.04.00,,University of Utah,Classroom,WBB,WBB 207 - F,207 - F,"Jan 01, 2019",2026
Atlona,AT-HDVS-CAM-HDMI-8k,Camera,,,,University of Utah,Classroom,MLIB,MLIB 1160-F,1160-F,"Jan 01, 2019",2026
Sennheiser,SK100 G4,Audio (Microphone),,,,University of Utah,Classroom,HSEB,HSEB 1730,1730,"Jan 01, 2019",2026
Crestron,DM-TX-4KZ-100-C,"TX, RX, Scaler",,,,University of Utah,Classroom,JTB,JTB 110,110,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.72.36.85,00.10.7f.b7.77.af,,University of Utah,Classroom,HSEB,HSEB 2938,2938,"Jan 01, 2019",2026
Crestron,TS-770,User Interface,10.88.2.187,00.10.7f.fb.2b.7e,,University of Utah,Classroom,MLIB,MLIB 1725-F,1725-F,"Jan 01, 2019",2026
Panasonic,PT-VMZ51U7,Display,,,,University of Utah,Classroom,BEHS,BEHS 112,112,"Jan 01, 2019",2026
Crestron,rmc3,Control Processor,10.88.38.60,00.10.7f.eb.cf.56,,University of Utah,Classroom,BEHS,BEHS 112,112,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.88.38.62,00.10.7f.e2.55.10,,University of Utah,Classroom,BEHS,BEHS 112,112,"Jan 01, 2019",2026
Atlona,AT-HDVS-CAM-HDMI-BLK,Camera,,,,University of Utah,Classroom,BEHS,BEHS 112,112,"Jan 01, 2019",2026
Polycom,Poly Studio X70 w/ TC8 Touchpanel,"Audio (Speaker, amplifier)",,,,University Health Care,Conference Room,Helix,Small Conf GS105,GS105,"Mar 28, 2024",2030
Polycom,Expansion Microphone,Audio (Microphone),,,,University Health Care,Conference Room,Helix,Medium Conf 5C050,5C050,"Mar 28, 2024",2030
Crestron,MPC3-102-B,User Interface,,,,University Health Care,Training Room,Helix,Multipurpose GS115,GS115,"Mar 28, 2024",2030
Polycom,Expansion Microphone,Audio (Microphone),,,,University Health Care,Conference Room,Helix,Medium Conf 1C106,1C106,"Mar 28, 2024",2030
Biamp,TesiraFORTE DAN CI,Accessory,,,,University Health Care,Conference Room,Helix,Large Conf 3C115,3C115,"Mar 28, 2024",2030
Crestron,DM-RMC-4KZ-100-C,"TX, RX, Scaler",,,,University Health Care,Conference Room,Helix,Small Conf 3C108,3C108,"Mar 28, 2024",2030
Polycom,Trio C60,Audio (Microphone),,,,University Health Care,Conference Room,Helix,Medium Conf 1C204,1C204,"Mar 28, 2024",2030
Crestron,DM-TX-4KZ-100-C-1G,"TX, RX, Scaler",,,,University Health Care,Conference Room,Helix,Medium Conf 1C120,1C120,"Mar 28, 2024",2030
Polycom,Poly Studio X70 w/ TC8 Touchpanel,"Audio (Speaker, amplifier)",,,,University Health Care,Conference Room,Helix,Small Conf 1C110,1C110,"Mar 28, 2024",2030
Crestron,DM-TX-4KZ-202-C,"TX, RX, Scaler",,,,University Health Care,Conference Room,Helix,Medium Conf 4C050,4C050,"Mar 28, 2024",2030
Polycom,Poly Studio E70,Camera,,,,University Health Care,Conference Room,Helix,Large Conf 2C115,2C115,"Mar 28, 2024",2030
Samsung,QB55R,Display,,,,University Health Care,Conference Room,Helix,Small Conf 2S101,2S101,"Mar 28, 2024",2030
Samsung,QM55R,Display,,,,University Health Care,Digital Signage,Helix,Building Wide Digital Signage,,"Mar 28, 2024",2030
Polycom,Poly Studio X30 w/ TC8 Touchpanel,"Audio (Speaker, amplifier)",,,,University Health Care,Huddle Room,Helix,Huddle 4C110,4C110,"Mar 28, 2024",2030
Samsung,QB55R,Display,,,,University Health Care,Office,Helix,Office 1S132,1S132,"Mar 28, 2024",2030
Samsung,QB55R,Display,,,,University Health Care,Huddle Room,Helix,Huddle 1N132,1N132,"Mar 28, 2024",2030
Polycom,Poly Studio X30 w/ TC8 Touchpanel,"Audio (Speaker, amplifier)",,,,University Health Care,Huddle Room,Helix,Huddle 5C108,5C108,"Mar 28, 2024",2030
Samsung,QB55R,Display,,,,University Health Care,Office,Helix,Office 4N245,4N245,"Mar 28, 2024",2030
Samsung,QB55R,Display,,,,University Health Care,Huddle Room,Helix,Huddle 3N151,3N151,"Mar 28, 2024",2030
Polycom,Poly Studio X70 w/ TC8 Touchpanel,"Audio (Speaker, amplifier)",,,,University Health Care,Conference Room,Helix,Small Conf 2S101,2S101,"Mar 28, 2024",2030
Samsung,QM55R,Display,,,,University Health Care,Digital Signage,Helix,Building Wide Digital Signage,,"Mar 28, 2024",2030
Polycom,Poly Studio X30 w/ TC8 Touchpanel,"Audio (Speaker, amplifier)",,,,University Health Care,Huddle Room,Helix,Huddle 4C108,4C108,"Mar 28, 2024",2030
Middle Atlantic,PD-920R-SP,Accessory,,,,University Health Care,Auditorium,Helix,Lecture/Conference GS150/GS155,GS150/GS155,"Mar 28, 2024",2030
Shure,QLXD14/83,Audio (Microphone),,,,University Health Care,Auditorium,Helix,Lecture/Conference GS150/GS155,GS150/GS155,"Mar 28, 2024",2030
Crestron,DM-NVX-360,"TX, RX, Scaler",,,,University Health Care,Auditorium,Helix,Lecture/Conference GS150/GS155,GS150/GS155,"Mar 28, 2024",2030
Crestron,DM-TX-201-C,"TX, RX, Scaler",10.88.4.75,00.10.7f.a4.0f.97,,University of Utah,Classroom,GC,GC 1900,1900,"Jan 01, 2019",2026
Crestron,DMPS3-4K-150-C,Control Processor,10.88.4.21,,,University of Utah,Classroom,GC,GC 1560,1560,"Jan 01, 2019",2026
Magewell,USb Capture,Accessory,,,,University of Utah,Classroom,GC,GC 4020,4020,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.88.5.207,00.10.7f.98.a4.d4,,University of Utah,Classroom,GC,GC 5750,5750,"Jan 01, 2019",2026
Sennheiser,e835,Audio (Microphone),,,,University of Utah,Classroom,HSEB,HSEB 1700,1700,"Jan 01, 2019",2026
Panasonic,PT-VMZ61U7,Display,,,,University of Utah,Classroom,HSEB,HSEB 4100A,4100A,"Jan 01, 2019",2026
Crestron,TSW-770-B-S,User Interface,10.72.37.32,c4.42.68.69.3a.e9,,University of Utah,Classroom,HSEB,HSEB 5100A,5100A,"Jan 01, 2019",2026
Radio Design Labs,STD-10K,Accessory,,,,University of Utah,Classroom,AEB,AEB 340 - F,340 - F,"Jan 01, 2019",2026
Crestron,CENSWPOE-16,Networking,10.88.4.203,,,University of Utah,Classroom,GC,GC 2900P,2900P,"Jan 01, 2019",2026
Crestron,Am-3000,Wireless Presentation,,,,University of Utah,Classroom,GC,GC 4660,4660,"Jan 01, 2019",2026
Crestron,DM-TX-4KZ-100-C,"TX, RX, Scaler",,,,University of Utah,Classroom,GC,GC 5750,5750,"Jan 01, 2019",2026
Atlona,AT-HDVS-CAM-HDMI-BK,Camera,,,,University of Utah,Classroom,HSEB,HSEB 1700,1700,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.72.36.117,00.10.7f.9e.52.3d,,University of Utah,Classroom,HSEB,HSEB 4100B,4100B,"Jan 01, 2019",2026
2,,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,HSEB,HSEB 5100A,5100A,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.88.35.27,00.10.7f.c5.0a.23,,University of Utah,Classroom,AEB,AEB 350 - F,350 - F,"Jan 01, 2019",2026
Panasonic,PT-MZ780 U,Display,,,,University of Utah,Classroom,GC,GC 3660,3660,"Jan 01, 2019",2026
Crestron,AM-3100,Wireless Presentation,,,,University of Utah,Classroom,GC,GC 5310,5310,"Jan 01, 2019",2026
Crestron,DM-RMC-4KZ-100-C,Accessory,,c4.42.68.5f.1f.aa,,University of Utah,Classroom,HEB,"HEB 2004, 2006, 2008 - F",2004,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.80.42.22,00.10.7F.D4.AC.8B,,University of Utah,Classroom,JFB,JFB 103,103,"Jan 01, 2019",2026
Camera,AT-HDVS-CAM-HDMI-BK,Camera,,,,University of Utah,Classroom,HSEB,HSEB 2968,2968,"Jan 01, 2019",2026
Crestron,AM-3000,Wireless Presentation,10.88.46.158,c4.42.68.29.4e.d0,,University of Utah,Classroom,GC,GC 2140,2140,"Jan 01, 2019",2026
Crestron,DM-TX-200-C,"TX, RX, Scaler",,,,University of Utah,Classroom,BUC,BUC 303 - F,303 - F,"Jan 01, 2019",2026
Atlona,Camera,Camera,,,,University of Utah,Classroom,GC,GC 4020,4020,"Jan 01, 2019",2026
Crestron,HD TXC 4KZ 101,"TX, RX, Scaler",,,,University of Utah,Classroom,JWB,JWB 308 - F,308 - F,"Jan 01, 2019",2026
Crestron,DMPS3-300-c,Control Processor,10.72.36.60,00.10.7f.a9.bd.2b,,University of Utah,Classroom,HSEB,HSEB 2110,2110,"Jan 01, 2019",2026
Atlona,AT-HDVS-CAM-HDMI-BK,Camera,,,,University of Utah,Classroom,HSEB,HSEB 2957,2957,"Jan 01, 2019",2026
Crestron,Airmedia,Wireless Presentation,10.88.47.145,c6.42.68.04.64.12,,University of Utah,Classroom,SW,SW 137,137,"Jan 01, 2019",2026
Kramer Electronics,FC6,Control Processor,,,,Weber State University,Conference Room,McKay Engineering,Standard Conference Room,258,"Oct 24, 2023",2030
Rocware,RC821U,Camera,,,U000613719,University of Utah,Classroom,AEB,AEB 310,310,"Feb 10, 2026",2033
Crestron,HD-RX-201-C-E,"TX, RX, Scaler",10.88.35.34,00:10:7f:b3:95:bb,,University of Utah,Classroom,AEB,AEB 360,360,"Feb 10, 2026",2033
Videri,SR24902M,Display,,,110000004615 / RET-10464,Yaamava Resort & Casino,Digital Signage,Yaamava Theater,Hallway,100,"Jan 03, 2025",2032
Sennheiser,TCC2,Audio (Microphone),,,,Clearvista,Conference Room,Headquarters,Experience Center,102,"Mar 10, 2026",2033
Audinate,ADP-USB-AU-2X2,"Audio (Speaker, amplifier)",,,,Weber State University,Conference Room,McKay Engineering,Standard Conference Room,258,"Oct 24, 2023",2030
